t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
16.5500000,-1.1253954,1.1321264,-1.1253954,1.1321264,-1.2030885,0.9241730,7.4167714
16.6500000,-0.8945835,1.2242330,-0.8945835,1.2242330,-1.1180106,1.0064332,7.2890021
16.7500000,-0.7667348,1.3094592,-0.7667348,1.3094592,-1.0371821,1.0791537,7.1983603
16.9000000,-0.6776488,1.3747681,-0.6776488,1.3747681,-0.9083939,1.1858004,7.0953228
17.0000000,-0.5391181,1.4361132,-0.5391181,1.4361132,-0.8237965,1.2472275,7.0351718
17.1500000,-0.3471858,1.4361132,-0.3471858,1.4361132,-0.7140725,1.3200015,6.9724326
17.3000000,-0.3471858,1.5379944,-0.3471858,1.5379944,-0.5733668,1.3641790,6.8147453
17.4000000,-0.3471858,1.5379944,-0.3471858,1.5379944,-0.5106565,1.4123796,6.8451729
17.5500000,-0.0999342,1.5632016,-0.0999342,1.5632016,-0.3525243,1.4703727,6.7480096
17.6500000,0.0499918,1.5769829,0.0499918,1.5769829,-0.2411478,1.4998066,6.6766678
17.7500000,0.2489732,1.5744688,0.2489732,1.5744688,-0.1604344,1.5211920,6.6419100
17.9000000,0.3958022,1.5744688,0.3958022,1.5744688,-0.0028745,1.5416114,6.5408014
18.0000000,0.3958022,1.5744688,0.3958022,1.5744688,0.1075246,1.5506734,6.4820977
18.1500000,0.5391181,1.5359635,0.5391181,1.5359635,0.2581214,1.5491053,6.3907425
18.2500000,0.6776488,1.5359635,0.6776488,1.5359635,0.3567475,1.5454469,6.3473667
18.4000000,0.7667348,1.4653245,0.7667348,1.4653245,0.5043062,1.5131616,6.2260472
18.5500000,0.9354893,1.4653245,0.9354893,1.4653245,0.6308359,1.4947057,6.1956812
18.6500000,0.9354893,1.2860636,0.9354893,1.2860636,0.7141647,1.4598082,6.1041300
18.8000000,0.9354893,1.1655624,0.9354893,1.1655624,0.7975443,1.3752899,5.8949547
18.9000000,0.9354893,1.1655624,0.9354893,1.1655624,0.8348489,1.3175475,5.7701052
19.0000000,0.9354893,1.0522594,0.9354893,1.0522594,0.8613062,1.2448867,5.6107661
19.1500000,1.3163396,1.0522594,1.3163396,1.0522594,0.9942777,1.1716262,5.7009468
19.3000000,1.4180809,0.8874039,1.4180809,0.8874039,1.1335034,1.1010268,5.7403448
19.4000000,1.4797852,0.7366462,1.4797852,0.7366462,1.2124186,1.0417806,5.7098328
19.5000000,1.4797852,0.7366462,1.4797852,0.7366462,1.2861116,0.9574557,5.6161794
19.6500000,1.5136535,0.7366462,1.5136535,0.7366462,1.3701710,0.8723098,5.5742939
19.8000000,1.5136535,0.4445509,1.5136535,0.4445509,1.4236830,0.7091838,5.3252538
19.9000000,1.5844861,0.2971644,1.5844861,0.2971644,1.4590413,0.6139975,5.2467970
