t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
18.1500000,0.5391181,1.4974583,-0.1844914,1.3644434,0.2654521,1.5386718,0.0048893
18.3000000,0.6776488,1.4400770,-0.0551703,1.3757884,0.4090758,1.5068619,-0.0893585
18.4000000,0.8101646,1.3699135,0.0746299,1.3749072,0.5031475,1.4778450,-0.1537930
18.5500000,0.9354893,1.2875905,0.2037588,1.3618097,0.6399920,1.4239359,-0.2480408
18.6500000,1.0525105,1.1938388,0.3310716,1.3366141,0.7218178,1.3861480,-0.2991296
18.8000000,1.1601896,1.0894906,0.4554393,1.2995455,0.8490624,1.3120672,-0.3933774
18.9000000,1.1601896,1.0894906,0.4554393,1.2995455,0.9350619,1.2504539,-0.4663496
19.0500000,1.2575708,0.9754719,0.5757590,1.2509345,1.0485902,1.1569073,-0.5605974
19.1500000,1.3437896,0.8527948,0.6909636,1.1912135,1.1192353,1.0883453,-0.6250319
19.3000000,1.4180809,0.7225483,0.8000312,1.1209138,1.2166904,0.9781859,-0.7192797
19.4000000,1.4797852,0.5858884,0.9019943,1.0406600,1.2724424,0.9073685,-0.7703685
19.5500000,1.5283549,0.4440281,0.9959484,0.9511652,1.3521862,0.7835942,-0.8646163
19.6500000,1.5283549,0.4440281,0.9959484,0.9511652,1.4008405,0.6896534,-0.9375885
19.8000000,1.5633587,0.2982266,1.0810599,0.8532244,1.4595256,0.5547619,-1.0318363
19.9000000,1.5844861,0.1497780,1.1565739,0.7477074,1.4913444,0.4616006,-1.0962708
